track_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,genre
00UZySJXRYQgnOrlzluIIm,2,4,6,3,3,8,8,3,2,3,5,3,6,6,5,1,1,3,5,5,7,5,2,3,4,3,3,4,3,4,1,3,3,5,2,3,4,3,4,5,2,6,7,7,8,8,8,8,9,5,4,6,6,5,4,5,3,2,4,5,5,3,2,3,4,4,5,6,2,4,2,4,3,5,8,9,2,8,8,5,6,6,7,3,2,5,5,6,2,2,4,9,1,6,6,6,3,5,2,1,2,7,6,2,2,3,9,7,2,1,6,3,4,5,5,5,7,5,5,4,4,9,4,5,3,2,3,4,sertanejo
00UoBmyOfYNPbiQUKWu07R,5,7,4,5,5,1,3,3,3,7,4,4,3,2,6,6,3,3,1,6,5,9,4,4,4,3,4,2,4,5,7,1,5,7,5,4,3,3,2,2,5,5,4,3,2,2,4,7,4,4,4,3,7,5,4,3,4,3,2,4,8,4,4,4,3,7,4,5,6,5,2,2,3,4,3,4,5,7,2,3,7,4,3,2,2,2,1,1,1,5,5,7,4,6,6,2,2,8,6,5,7,6,5,4,8,7,6,6,8,3,3,8,8,9,7,6,4,4,5,9,6,3,4,7,7,8,4,5,goth
00X8QXyQ4QAkcpeGzcg5bC,7,4,4,4,5,8,5,3,2,2,6,6,4,5,5,6,9,7,6,2,2,7,5,3,4,4,6,8,5,3,2,2,7,6,7,7,6,7,9,9,6,6,4,7,5,4,3,3,5,5,3,2,2,3,5,3,3,3,3,7,6,4,3,3,3,4,3,4,3,3,5,3,2,1,2,3,4,6,9,3,3,5,7,7,8,7,5,5,2,3,3,4,7,5,2,0,1,5,6,2,3,3,6,7,6,3,1,1,4,3,2,3,3,5,6,4,2,1,1,5,4,3,4,5,6,6,9,7,synth-pop
00YwP3wJWiG8IxAA7OS9lo,4,7,4,6,4,8,5,4,5,8,7,6,4,2,2,4,5,6,5,5,2,1,3,6,6,0,9,9,5,7,8,7,5,3,2,4,7,6,7,7,7,4,4,7,7,4,3,1,2,3,6,6,6,6,6,4,2,3,5,4,5,1,1,3,6,7,6,7,6,3,3,3,5,3,3,3,3,2,3,5,0,0,0,2,4,6,8,8,6,3,6,7,7,7,7,6,7,4,2,3,5,2,2,0,3,4,3,5,7,5,7,7,5,5,7,5,4,0,2,2,3,5,7,7,8,6,5,5,songwriter
00fzPML4lrNag28OPzsB93,1,4,3,2,2,1,7,8,7,8,7,4,5,9,1,1,7,9,7,6,6,7,5,3,2,1,2,2,2,1,1,1,3,5,5,9,9,9,8,8,9,8,9,6,4,6,6,4,6,6,5,5,5,5,5,5,5,5,3,1,2,2,2,4,8,6,5,7,5,6,6,3,1,1,1,2,2,3,9,8,7,8,6,3,3,3,1,1,1,1,2,2,2,5,5,7,6,6,8,7,6,6,6,6,2,1,3,7,8,6,6,2,1,1,1,1,1,1,2,2,3,4,6,5,4,4,4,3,mpb
00hTw7P6jPUio5Qgojw38w,3,5,4,4,8,9,5,6,4,3,5,2,3,6,1,2,4,4,3,5,3,2,4,4,5,6,3,4,8,9,4,5,9,6,4,3,3,5,7,4,8,6,5,4,7,7,3,5,4,6,9,4,3,4,3,4,6,5,5,6,5,6,7,3,5,7,6,3,5,3,2,7,9,6,6,6,3,3,3,2,4,4,3,3,3,4,6,5,4,6,9,6,3,5,2,4,4,2,3,8,2,2,5,4,5,6,3,3,5,3,2,1,1,0,0,2,3,6,3,3,5,4,2,5,4,2,4,5,emo
00mO8JKk2wQ7VqdPcY1r4O,9,9,7,8,7,2,5,6,5,4,5,5,6,4,5,2,3,5,2,2,3,5,6,7,5,5,9,7,4,2,5,7,7,5,6,2,2,5,3,1,2,8,9,5,5,5,9,7,4,5,4,7,6,7,4,2,2,4,4,1,1,1,2,3,1,0,0,0,1,2,3,6,7,6,4,4,1,2,5,2,3,9,7,9,8,4,3,3,5,5,5,4,5,6,3,4,2,2,5,2,2,5,7,6,3,2,6,8,6,3,2,4,6,6,5,4,2,1,4,3,1,5,7,5,7,6,3,3,synth-pop
00p8hvNEUv4qysRa5FhbkH,7,6,5,2,2,4,3,2,2,5,3,2,6,5,8,5,5,5,5,4,5,4,3,2,3,3,2,1,2,1,1,1,5,4,2,4,3,2,3,2,9,9,6,3,8,4,3,2,6,5,4,4,5,4,4,6,6,5,5,7,6,5,5,5,5,4,5,5,4,8,6,4,3,2,5,6,4,3,4,5,3,2,5,3,2,2,3,4,3,6,9,5,4,5,5,5,4,6,6,4,5,3,6,5,5,5,8,4,5,4,7,5,5,9,7,4,4,4,3,3,3,7,6,4,3,8,4,3,honky-tonk
00tmncKNivQuNIXAhvI2ZU,0,0,0,0,1,2,3,4,6,3,3,3,1,2,2,4,2,4,6,7,5,5,3,2,1,1,1,4,7,7,9,8,5,5,6,6,7,8,7,5,5,4,3,2,2,3,1,1,4,5,6,8,9,8,9,7,5,3,4,4,2,3,2,3,4,6,5,4,5,6,4,4,3,5,1,1,4,3,3,2,3,6,8,9,9,8,7,8,6,3,2,3,3,3,3,2,2,3,4,2,2,2,2,2,1,0,2,2,2,4,3,3,7,9,9,9,9,9,9,9,9,9,5,7,4,2,3,3,world-music
00utEhrTFR6V4HEuLh2ncI,1,0,0,1,3,4,4,4,5,4,5,5,6,3,1,0,1,5,7,6,6,6,4,3,8,7,5,3,0,1,1,4,4,5,6,6,6,7,8,5,3,1,0,0,0,2,3,4,6,8,7,4,8,7,4,3,3,2,4,7,6,6,8,9,9,9,9,9,9,5,0,0,0,3,4,5,7,7,8,8,9,7,8,8,7,7,7,8,8,8,9,9,9,9,9,9,9,7,4,4,3,3,3,3,4,3,5,5,2,2,3,2,3,3,0,0,0,1,2,3,3,4,2,1,2,2,2,1,piano
